mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: aJrTpmH6PqjJS|5-2) should print 10 examples: YeOhsn9adrrob|6-3) should print 10 examples: Z3Sb1-CefDtEy|7-4) should print 10 examples: _sgVb3kDDGtZo|8-5) should print 10 examples: yBYjJGZz8OFu7|9-6) should print 10 examples: ErfC2OFp_85l2|10-7) should print 10 examples: -PhasnMm8g0vD|11-8) should print 10 examples: HhzAw7F6b1YFd|12-9) should print 10 examples: gqoaQb-EvJr5s|13-10) should print 10 examples: -RXPprvY1-CP-|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (636ms)
MUTANT 1|8757ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|8720ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|8708ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|7389ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|7436ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|7442ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|8826ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|9061ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|9185ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 2|35195ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 13|24303ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|24401ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 11|26999ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|18003ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|8536ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|8620ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|8151ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|10293ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|10479ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|8876ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|9169ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|8276ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|9086ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|9820ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|10051ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 18|44929ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 28|9512ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 29|10007ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 21|47274ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 30|11638ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|9428ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|9614ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|10111ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|13142ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|3402ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|3136ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|12268ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|12289ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|14648ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|14731ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
