mutant-id|timeToExecute|0-should default to {}|1-should parse JSON|2-should parse x-www-form-urlencoded|3-should handle duplicated middleware|4-should support ACL requests|5-should support BIND requests|6-should support CHECKOUT requests|7-should support COPY requests|8-should support DELETE requests|9-should support GET requests|10-should support HEAD requests|11-should support LINK requests|12-should support LOCK requests|13-should support M-SEARCH requests|14-should support MERGE requests|15-should support MKACTIVITY requests|16-should support MKCALENDAR requests|17-should support MKCOL requests|18-should support MOVE requests|19-should support NOTIFY requests|20-should support OPTIONS requests|21-should support PATCH requests|22-should support POST requests|23-should support PROPFIND requests|24-should support PROPPATCH requests|25-should support PURGE requests|26-should support PUT requests|27-should support REBIND requests|28-should support REPORT requests|29-should support SEARCH requests|30-should support SOURCE requests|31-should support SUBSCRIBE requests|32-should support TRACE requests|33-should support UNBIND requests|34-should support UNLINK requests|35-should support UNLOCK requests|36-should support UNSUBSCRIBE requests|37-should parse JSON|38-should parse x-www-form-urlencoded|39-should apply to json|40-should apply to urlencoded|41-should parse JSON|42-should handle Content-Length: 0|43-should handle empty message-body|44-should handle no message-body|45-should 400 when invalid content-length|46-should handle duplicated middleware|47-should 400 for bad token|48-should 400 for incomplete|49-should error with type = "entity.parse.failed"|50-should include original body on error object|51-should 413 when over limit with Content-Length|52-should error with type = "entity.too.large"|53-should 413 when over limit with chunked encoding|54-should accept number of bytes|55-should not change when options altered|56-should not hang response|57-should not accept content-encoding|58-should accept content-encoding|59-should 400 on primitives|60-should parse primitives|61-should not parse primitives|62-should not parse primitives with leading whitespaces|63-should allow leading whitespaces in JSON|64-should error with type = "entity.parse.failed"|65-should parse JSON for custom type|66-should ignore standard type|67-should parse when truthy value returned|68-should work without content-type|69-should not invoke without a body|70-should assert value if function|71-should error from verify|72-should error with type = "entity.verify.failed"|73-should allow custom codes|74-should allow custom type|75-should include original body on error object|76-should allow pass-through|77-should work with different charsets|78-should 415 on unknown charset prior to verify|79-should parse utf-8|80-should parse utf-16|81-should parse when content-length != char length|82-should default to utf-8|83-should fail on unknown charset|84-should error with type = "charset.unsupported"|85-should parse without encoding|86-should support identity encoding|87-should support gzip encoding|88-should support deflate encoding|89-should be case-insensitive|90-should 415 on unknown encoding|91-should error with type = "encoding.unsupported"|92-should 400 on malformed encoding|93-should 413 when inflated value exceeds limit|94-should parse application/octet-stream|95-should 400 when invalid content-length|96-should handle Content-Length: 0|97-should handle empty message-body|98-should handle duplicated middleware|99-should 413 when over limit with Content-Length|100-should 413 when over limit with chunked encoding|101-should accept number of bytes|102-should not change when options altered|103-should not hang response|104-should not accept content-encoding|105-should accept content-encoding|106-should parse for custom type|107-should ignore standard type|108-should parse when truthy value returned|109-should work without content-type|110-should not invoke without a body|111-should assert value is function|112-should error from verify|113-should allow custom codes|114-should allow pass-through|115-should ignore charset|116-should parse without encoding|117-should support identity encoding|118-should support gzip encoding|119-should support deflate encoding|120-should be case-insensitive|121-should fail on unknown encoding|122-should parse text/plain|123-should 400 when invalid content-length|124-should handle Content-Length: 0|125-should handle empty message-body|126-should handle duplicated middleware|127-should change default charset|128-should honor content-type charset|129-should 413 when over limit with Content-Length|130-should 413 when over limit with chunked encoding|131-should accept number of bytes|132-should not change when options altered|133-should not hang response|134-should not accept content-encoding|135-should accept content-encoding|136-should parse for custom type|137-should ignore standard type|138-should parse when truthy value returned|139-should work without content-type|140-should not invoke without a body|141-should assert value is function|142-should error from verify|143-should allow custom codes|144-should allow pass-through|145-should 415 on unknown charset prior to verify|146-should parse utf-8|147-should parse codepage charsets|148-should parse when content-length != char length|149-should default to utf-8|150-should 415 on unknown charset|151-should parse without encoding|152-should support identity encoding|153-should support gzip encoding|154-should support deflate encoding|155-should be case-insensitive|156-should fail on unknown encoding|157-should parse x-www-form-urlencoded|158-should 400 when invalid content-length|159-should handle Content-Length: 0|160-should handle empty message-body|161-should handle duplicated middleware|162-should parse extended syntax|163-should not parse extended syntax|164-should parse multiple key instances|165-should parse multiple key instances|166-should parse extended syntax|167-should parse parameters with dots|168-should parse fully-encoded extended syntax|169-should parse array index notation|170-should parse array index notation with large array|171-should parse array of objects syntax|172-should parse deep object|173-should not accept content-encoding|174-should accept content-encoding|175-should 413 when over limit with Content-Length|176-should 413 when over limit with chunked encoding|177-should accept number of bytes|178-should not change when options altered|179-should not hang response|180-should reject 0|181-should reject string|182-should 413 if over limit|183-should error with type = "parameters.too.many"|184-should work when at the limit|185-should work if number is floating point|186-should work with large limit|187-should work with Infinity limit|188-should reject 0|189-should reject string|190-should 413 if over limit|191-should error with type = "parameters.too.many"|192-should work when at the limit|193-should work if number is floating point|194-should work with large limit (41ms)|195-should work with Infinity limit (65ms)|196-should parse for custom type|197-should ignore standard type|198-should parse when truthy value returned|199-should work without content-type|200-should not invoke without a body|201-should assert value if function|202-should error from verify|203-should error with type = "entity.verify.failed"|204-should allow custom codes|205-should allow custom type|206-should allow pass-through|207-should 415 on unknown charset prior to verify|208-should parse utf-8|209-should parse when content-length != char length|210-should default to utf-8|211-should fail on unknown charset|212-should parse without encoding|213-should support identity encoding|214-should support gzip encoding|215-should support deflate encoding|216-should be case-insensitive|217-should fail on unknown encoding
MUTANT 4|5327ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|5422ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 2|5628ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0
MUTANT 5|4358ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4338ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|5278ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 8|4790ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 9|5213ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|0|0|1|1|1|1|1|1|0|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|0|1|0|0|0|1|0|0|1|1|1|1|1|1|0|1|0|0|0|1|0|0|0|0|0|1
MUTANT 10|5703ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|5237ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
