mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 1|2635ms|1|1|1
MUTANT 2|3331ms|1|1|1
MUTANT 4|3551ms|1|1|1
MUTANT 3|4052ms|1|1|1
MUTANT 5|2547ms|1|1|1
MUTANT 7|2721ms|1|1|1
MUTANT 6|2968ms|1|1|1
MUTANT 8|2347ms|1|1|1
MUTANT 9|2383ms|1|1|1
MUTANT 10|2829ms|1|1|1
MUTANT 11|2825ms|1|1|1
MUTANT 12|3017ms|1|1|1
MUTANT 13|2798ms|1|1|1
MUTANT 15|2516ms|1|1|1
MUTANT 14|2552ms|1|1|1
MUTANT 16|2256ms|1|1|1
MUTANT 17|2000ms|1|1|1
MUTANT 18|2246ms|1|1|1
MUTANT 20|2289ms|1|1|1
MUTANT 19|2315ms|1|1|1
MUTANT 21|2249ms|1|1|1
MUTANT 22|2075ms|1|1|1
MUTANT 23|2220ms|1|1|1
MUTANT 24|2361ms|1|1|1
MUTANT 25|2198ms|1|1|1
MUTANT 26|2190ms|1|1|1
MUTANT 27|2173ms|1|1|1
MUTANT 28|2215ms|1|1|1
MUTANT 29|2348ms|1|1|1
MUTANT 30|2333ms|1|1|1
MUTANT 31|2247ms|1|1|1
MUTANT 32|2156ms|1|1|1
MUTANT 33|2443ms|1|1|1
MUTANT 34|2231ms|1|1|1
MUTANT 35|2199ms|1|1|1
MUTANT 36|2300ms|1|1|1
MUTANT 37|2254ms|1|1|1
MUTANT 38|2399ms|1|1|1
MUTANT 39|2559ms|1|1|1
MUTANT 40|2541ms|1|1|1
MUTANT 41|2767ms|1|1|1
MUTANT 42|2662ms|1|1|1
MUTANT 43|2608ms|1|1|1
MUTANT 44|2706ms|1|1|1
MUTANT 45|2492ms|1|1|1
MUTANT 46|2451ms|1|1|1
MUTANT 47|2492ms|1|1|1
MUTANT 48|2433ms|1|1|1
MUTANT 49|3070ms|1|1|1
MUTANT 50|2903ms|1|1|1
MUTANT 51|2845ms|1|1|1
MUTANT 52|3100ms|1|1|1
MUTANT 53|2858ms|1|1|1
MUTANT 55|2901ms|1|1|1
MUTANT 54|3101ms|1|1|1
MUTANT 56|3048ms|1|1|1
MUTANT 57|3104ms|1|1|1
MUTANT 59|2680ms|1|1|1
MUTANT 58|2728ms|1|1|1
MUTANT 60|2664ms|1|1|1
MUTANT 61|2651ms|1|1|1
MUTANT 62|2671ms|1|1|1
MUTANT 63|2648ms|1|1|1
MUTANT 64|2691ms|1|1|1
MUTANT 65|2945ms|1|1|1
MUTANT 67|2597ms|1|1|1
MUTANT 66|2743ms|1|1|1
MUTANT 68|2638ms|1|1|1
MUTANT 69|2905ms|1|1|1
MUTANT 70|2941ms|1|1|1
MUTANT 71|2985ms|1|1|1
MUTANT 72|2895ms|1|1|1
MUTANT 73|2935ms|1|1|1
MUTANT 74|2820ms|1|1|1
MUTANT 75|2856ms|1|1|1
MUTANT 76|2840ms|1|1|1
MUTANT 77|2573ms|1|1|1
MUTANT 78|2842ms|1|1|1
MUTANT 79|2852ms|1|1|1
MUTANT 80|3042ms|1|1|1
MUTANT 81|2958ms|1|1|1
MUTANT 82|2843ms|1|1|1
MUTANT 83|2912ms|1|1|1
MUTANT 84|2860ms|1|1|1
MUTANT 85|2870ms|1|1|1
MUTANT 87|2747ms|1|1|1
MUTANT 86|3030ms|1|1|1
MUTANT 88|3208ms|1|1|1
MUTANT 89|3247ms|1|1|1
MUTANT 91|3158ms|1|1|1
MUTANT 90|3334ms|1|1|1
MUTANT 92|3060ms|1|1|1
MUTANT 93|3113ms|1|1|1
MUTANT 94|3327ms|1|1|1
MUTANT 95|3287ms|1|1|1
MUTANT 96|3473ms|1|1|1
MUTANT 97|4223ms|1|1|1
MUTANT 98|3514ms|1|1|1
MUTANT 99|3959ms|1|1|1
MUTANT 100|3984ms|1|1|1
MUTANT 101|4307ms|1|1|1
MUTANT 102|4526ms|1|1|1
MUTANT 103|4808ms|1|1|1
MUTANT 104|5311ms|1|1|1
MUTANT 105|6136ms|1|1|1
MUTANT 106|9856ms|1|1|1
MUTANT 107|9430ms|1|1|1
MUTANT 108|10414ms|1|1|1
MUTANT 109|9249ms|1|1|1
MUTANT 110|9039ms|1|1|1
MUTANT 111|8821ms|1|1|1
MUTANT 112|9484ms|1|1|1
MUTANT 113|10515ms|1|1|1
MUTANT 114|9274ms|1|1|1
MUTANT 115|9171ms|1|1|1
MUTANT 116|12673ms|1|1|1
MUTANT 119|7653ms|1|1|1
MUTANT 118|7788ms|1|1|1
MUTANT 117|10383ms|1|1|1
MUTANT 121|11211ms|1|1|1
MUTANT 123|11116ms|1|1|1
MUTANT 122|11327ms|1|1|1
MUTANT 120|12166ms|1|1|1
MUTANT 124|7962ms|1|1|1
MUTANT 126|8404ms|1|1|1
MUTANT 125|8771ms|1|1|1
MUTANT 127|9438ms|1|1|1
MUTANT 130|7998ms|1|1|1
MUTANT 128|9123ms|1|1|1
MUTANT 129|8562ms|1|1|1
MUTANT 131|8284ms|1|1|1
MUTANT 133|6379ms|1|1|1
MUTANT 132|6471ms|1|1|1
MUTANT 134|6297ms|1|1|1
MUTANT 135|6814ms|1|1|1
MUTANT 136|7213ms|1|1|1
MUTANT 138|7612ms|1|1|1
MUTANT 137|8053ms|1|1|1
MUTANT 139|7597ms|1|1|1
MUTANT 140|8271ms|1|1|1
MUTANT 142|7856ms|1|1|1
MUTANT 141|8215ms|1|1|1
MUTANT 143|8937ms|1|1|1
MUTANT 144|7347ms|1|1|1
MUTANT 145|7172ms|1|1|1
MUTANT 146|7007ms|1|1|1
MUTANT 147|7557ms|1|1|1
MUTANT 148|7337ms|1|1|1
MUTANT 149|7772ms|1|1|1
MUTANT 150|8271ms|1|1|1
MUTANT 151|8250ms|1|1|1
MUTANT 152|8188ms|1|1|1
MUTANT 153|8607ms|1|1|1
MUTANT 154|8192ms|1|1|1
MUTANT 155|8149ms|1|1|1
MUTANT 156|7798ms|1|1|1
