mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-uses it|3-uses it
MUTANT 3|4585ms|1|1|1|1
MUTANT 1|4628ms|1|1|1|1
MUTANT 2|4713ms|1|1|1|1
MUTANT 4|4735ms|1|1|1|1
MUTANT 6|4179ms|1|1|1|1
MUTANT 5|4208ms|1|1|1|1
MUTANT 8|4060ms|1|1|1|1
MUTANT 7|4222ms|1|1|1|1
MUTANT 9|4421ms|1|1|1|1
MUTANT 10|4445ms|1|1|1|1
MUTANT 11|4445ms|1|1|1|1
MUTANT 12|4596ms|1|1|1|1
MUTANT 14|4084ms|1|1|1|1
MUTANT 15|4266ms|1|1|1|1
MUTANT 13|4410ms|1|1|1|1
MUTANT 16|4298ms|1|1|1|1
MUTANT 17|4062ms|1|1|1|1
MUTANT 18|4025ms|1|1|1|1
MUTANT 20|4044ms|1|1|1|1
MUTANT 19|4260ms|1|1|1|1
MUTANT 21|4609ms|1|1|1|1
MUTANT 22|4535ms|1|1|1|1
MUTANT 23|4668ms|1|1|1|1
MUTANT 24|4990ms|1|1|1|1
MUTANT 25|4049ms|1|1|1|1
MUTANT 26|4019ms|1|1|1|1
MUTANT 27|4176ms|1|1|1|1
MUTANT 28|5017ms|1|1|1|1
MUTANT 29|4313ms|1|1|1|1
MUTANT 30|4681ms|1|1|1|1
MUTANT 31|4553ms|1|1|1|1
MUTANT 32|4495ms|1|1|1|1
MUTANT 33|3949ms|1|1|1|1
MUTANT 34|4592ms|1|1|1|1
MUTANT 35|4192ms|1|1|1|1
MUTANT 36|4666ms|1|1|1|1
MUTANT 37|4695ms|1|1|1|1
MUTANT 39|4561ms|1|1|1|1
MUTANT 38|4753ms|1|1|1|1
MUTANT 40|3749ms|1|1|1|1
MUTANT 41|3020ms|1|1|1|1
MUTANT 42|3345ms|1|1|1|1
MUTANT 43|3356ms|1|1|1|1
MUTANT 44|3817ms|1|1|1|1
MUTANT 45|4426ms|1|1|1|1
MUTANT 46|3862ms|1|1|1|1
MUTANT 47|4125ms|1|1|1|1
MUTANT 48|4364ms|1|1|1|1
MUTANT 49|3959ms|1|1|1|1
MUTANT 50|4034ms|1|1|1|1
MUTANT 51|3759ms|1|1|1|1
MUTANT 52|4215ms|1|1|1|1
MUTANT 53|3804ms|1|1|1|1
MUTANT 54|3578ms|1|1|1|1
MUTANT 55|3632ms|1|1|1|1
MUTANT 56|2707ms|1|1|1|1
MUTANT 57|2864ms|1|1|1|1
MUTANT 58|3017ms|1|1|1|1
MUTANT 59|3095ms|1|1|1|1
MUTANT 60|3563ms|1|1|1|1
MUTANT 61|4098ms|1|1|1|1
MUTANT 62|4218ms|1|1|1|1
MUTANT 63|4115ms|1|1|1|1
MUTANT 64|4086ms|1|1|1|1
MUTANT 65|4840ms|1|1|1|1
MUTANT 66|4309ms|1|1|1|1
MUTANT 67|4447ms|1|1|1|1
MUTANT 68|4669ms|1|1|1|1
MUTANT 69|4354ms|1|1|1|1
MUTANT 70|4365ms|1|1|1|1
MUTANT 71|4243ms|1|1|1|1
MUTANT 72|4100ms|1|1|1|1
MUTANT 73|4680ms|1|1|1|1
MUTANT 74|4512ms|1|1|1|1
MUTANT 75|4450ms|1|1|1|1
MUTANT 76|5180ms|1|1|1|1
MUTANT 77|4066ms|1|1|1|1
MUTANT 79|4034ms|1|1|1|1
MUTANT 78|4108ms|1|1|1|1
MUTANT 80|3950ms|1|1|1|1
MUTANT 81|3845ms|1|1|1|1
MUTANT 83|3744ms|1|1|1|1
MUTANT 82|3860ms|1|1|1|1
MUTANT 84|4358ms|1|1|1|1
MUTANT 85|4105ms|1|1|1|1
MUTANT 86|4314ms|1|1|1|1
MUTANT 87|4331ms|1|1|1|1
MUTANT 88|4444ms|1|1|1|1
MUTANT 89|4669ms|1|1|1|1
MUTANT 90|4397ms|1|1|1|1
MUTANT 91|4620ms|1|1|1|1
