mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 4|3197ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 1|3224ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|3232ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 5|2273ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 7|2254ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 6|2281ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|2742ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|2765ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|2754ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 11|2065ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|2145ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 13|2170ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|2062ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|2128ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|2194ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|2259ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|2089ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|2012ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 20|2031ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 21|1984ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 22|2128ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 23|2068ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 25|2136ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 24|2235ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 26|2278ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 27|1995ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 28|2030ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 29|2201ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 30|1988ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 31|2101ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 32|2097ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 33|2085ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 34|2040ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|2097ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 36|2049ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 37|2177ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|2031ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 39|2046ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 40|2037ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|2102ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 41|2317ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|1963ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 44|2156ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|2243ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|2846ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 47|2102ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 48|2240ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 49|2041ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 50|2079ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 51|2252ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 52|2081ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 53|2144ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 54|2090ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 55|2196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 56|2012ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 57|2119ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 58|2277ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 59|2041ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 60|2251ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 61|2132ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 62|2153ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|0|1
MUTANT 63|2117ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|2213ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|2227ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
